City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,lihue,21.9789,-159.3672,301.92,64,broken clouds,5.66,US,7873
80,west island,-12.1568,96.8225,299.14,73,scattered clouds,9.26,CC,9570
81,ilulissat,69.2167,-51.1,278.16,100,broken clouds,1.03,GL,165
82,jamestown,42.097,-79.2353,292.35,89,clear sky,1.54,US,2008828
83,malabar,-33.9667,151.25,289.83,77,light rain,2.57,AU,9600
84,hastings,50.8552,0.5729,291.09,48,overcast clouds,2.07,GB,2032234
85,hilo,19.7297,-155.09,301.64,78,few clouds,4.12,US,7881
86,cascais,38.6979,-9.4215,292.56,77,broken clouds,12.52,PT,2021330
87,hammerfest,70.6634,23.6821,289.4,77,scattered clouds,2.06,NO,1632
88,mount isa,-20.7333,139.5,303.02,23,clear sky,3.09,AU,9495
89,pekanbaru,0.5333,101.45,299.33,89,broken clouds,0.0,ID,9380
90,east end,34.5507,-92.341,305.16,90,few clouds,2.41,US,2003557
91,melchor de mencos,17.0686,-89.1522,297.15,100,clear sky,0.0,GT,7082
92,brigantine,39.4101,-74.3646,298.72,76,clear sky,3.09,US,2076444
93,bikenibeu village,1.3673,173.1241,301.13,83,light intensity shower rain,4.63,KI,7300
94,tofol,5.3248,163.0078,305.03,70,broken clouds,1.54,FM,7888
95,talas,38.6908,35.5538,297.52,31,clear sky,5.66,TR,6963
96,mayskiy,47.6931,40.1025,289.82,58,clear sky,3.41,RU,8971
97,la ronge,55.1001,-105.2842,293.29,64,few clouds,4.12,CA,696
98,cabedelo,-6.9811,-34.8339,295.52,86,light rain,6.05,BR,8391
99,trail,49.0998,-117.7022,296.31,40,clear sky,0.26,CA,2006286
100,waiuku,-37.25,174.75,286.07,93,moderate rain,2.37,NZ,2008691
101,vernon,50.2581,-119.2691,304.35,34,clear sky,0.51,CA,331
102,pierre,44.3683,-100.351,290.85,80,few clouds,6.17,US,2041039
103,santa cruz,-17.8,-63.1667,287.85,58,broken clouds,2.06,BO,8661
104,new norfolk,-42.7826,147.0587,284.22,46,few clouds,0.7,AU,2002195
105,swift current,50.2834,-107.8014,290.6,63,clear sky,3.09,CA,996
106,pacific grove,36.6177,-121.9166,291.97,91,scattered clouds,2.06,US,2009350
107,levuka,50.1834,-105.4011,288.05,47,scattered clouds,1.05,CA,613
108,harstad,68.799,16.5293,289.4,83,overcast clouds,2.68,NO,2012184
109,saverne,48.8333,7.25,292.76,91,overcast clouds,0.83,FR,65046
110,nelson bay,-32.7167,152.15,290.42,83,light rain,3.58,AU,2074830
111,kajaani,64.2273,27.7285,290.18,88,overcast clouds,1.54,FI,1344
112,mossel bay,-34.1831,22.146,282.11,82,broken clouds,3.85,ZA,1918
113,afaahiti,-17.75,-149.2833,299.85,73,broken clouds,3.67,PF,7318
114,labrador city,52.9463,-66.9114,285.1,87,overcast clouds,2.06,CA,973
115,arica,-18.475,-70.3042,291.28,77,light intensity drizzle,2.06,CL,8476
116,badger,64.8,-147.5333,294.1,51,shower rain,3.09,US,7684
117,marugame,34.2833,133.7833,305.91,75,overcast clouds,2.44,JP,20214
118,salina,38.8403,-97.6114,296.22,78,clear sky,4.63,US,5863
119,ponta delgada,37.7333,-25.6667,294.55,88,few clouds,2.06,PT,6899
120,hola,51.5377,23.1902,291.25,89,broken clouds,1.41,PL,1702
121,ishigaki,24.3448,124.1572,304.22,79,broken clouds,2.06,JP,8139
122,rodriguez,14.7314,121.1417,305.35,74,broken clouds,2.3,PH,2008256
123,east london,-33.0153,27.9116,287.67,82,broken clouds,3.09,ZA,1912
124,port elizabeth,-33.918,25.5701,284.31,71,clear sky,3.09,ZA,1973
125,pionerskiy,54.9508,20.2275,286.9,89,overcast clouds,3.53,RU,2021340
126,aldinga beach,-35.2793,138.4604,290.52,65,few clouds,1.46,AU,2074264
127,newman,37.3138,-121.0208,305.14,31,broken clouds,2.75,US,2004582
128,northam,51.0333,-4.2167,292.4,98,heavy intensity rain,7.42,GB,2005965
129,pemba,-12.974,40.5178,294.54,88,scattered clouds,1.54,MZ,2206
130,weno,7.4515,151.8468,301.12,74,light rain,0.0,FM,7898
131,vilyuchinsk,52.9306,158.4028,296.3,67,clear sky,1.23,RU,49609
132,seaside,36.6111,-121.8516,290.88,92,scattered clouds,2.06,US,2005812
133,kovalam,8.3667,76.9967,301.2,83,haze,3.6,IN,9226
134,kailua-kona,19.6406,-155.9956,302.13,76,scattered clouds,3.6,US,2034990
135,flying fish cove,-10.4217,105.6791,299.97,73,scattered clouds,6.17,CX,9592
136,arno,60.1167,18.6333,286.92,93,broken clouds,3.36,SE,2081022
137,glace bay,46.1969,-59.957,291.98,95,overcast clouds,3.09,CA,2030348
138,broome,42.2506,-75.833,292.89,79,overcast clouds,1.2,US,2009449
139,souillac,-20.5167,57.5167,296.36,83,scattered clouds,4.12,MU,2061
140,kolonia,50.9333,6.95,289.8,86,clear sky,1.03,DE,2000227
141,ivolginsk,51.7492,107.2837,294.96,73,few clouds,3.0,RU,8896
142,oistins,13.0667,-59.5333,301.2,83,few clouds,8.75,BB,8772
143,heihe,50.2441,127.4902,297.47,69,broken clouds,5.68,CN,8859
144,santiago de cao,-7.9589,-79.2392,294.22,88,fog,3.09,PE,8690
145,kingscliff,-28.2667,153.5667,301.35,53,clear sky,6.69,AU,9486
146,bahia de caraquez,-0.6,-80.4167,299.25,85,broken clouds,3.18,EC,8552
147,padang,-0.9492,100.3543,297.18,82,light rain,1.43,ID,9423
148,vadso,70.0744,29.7487,288.64,94,light intensity drizzle,3.09,NO,1682
149,dambatta,12.433,8.5154,296.21,76,overcast clouds,2.8,NG,1181
150,luang prabang,19.8856,102.1347,301.13,83,broken clouds,1.03,LA,9189
151,youghal,51.95,-7.8506,286.79,100,light rain,3.8,IE,2039644
152,dunedin,-45.8742,170.5036,285.41,65,clear sky,1.79,NZ,75281
153,rio grande,-32.035,-52.0986,278.68,75,clear sky,3.56,BR,2020865
154,callao,-12.0667,-77.15,294.31,68,clear sky,4.12,PE,8682
155,nakhon nayok,14.1667,101.1,305.94,62,scattered clouds,3.78,TH,2074135
156,salalah,17.0151,54.0924,299.2,100,overcast clouds,2.57,OM,7562
